user_id,daily_travel_km,electricity_usage_kwh,diet_type,shopping_score,carbon_footprint,electricity_mobile_kwh,electricity_laptop_kwh,electricity_desktop_kwh,electricity_tv_kwh,electricity_tablet_kwh,travel_aboveground_rail_km,travel_underground_rail_km,travel_bus_km,travel_auto_motorcycle_km
268,23,494,Vegan,2,2.7309548237603796,24.7,98.8,123.5,172.9,74.1,3.45,4.6,6.9,8.05
271,69,582,Vegan,3,4.82369912724848,29.1,116.4,145.5,203.7,87.3,10.35,13.8,20.7,24.15
274,97,480,Vegan,4,4.653629490669291,24,96,120,168,72,14.55,19.4,29.1,33.95
277,43,500,Vegan,5,1.8513834994470626,25,100,125,175,75,6.45,8.6,12.9,15.05
280,57,407,Vegan,9,1.46309228244486,20.35,81.4,101.75,142.45,61.05,8.55,11.4,17.1,19.95
283,6,961,Vegan,7,3.63016471479653,48.05,192.2,240.25,336.35,144.15,0.9,1.2,1.8,2.1
286,24,809,Vegan,10,1.8778218049640023,40.45,161.8,202.25,283.15,121.35,3.6,4.8,7.2,8.4
289,76,215,Vegan,8,1.852292191314034,10.75,43,53.75,75.25,32.25,11.4,15.2,22.8,26.6
292,46,566,Vegan,4,2.32759448152971,28.3,113.2,141.5,198.1,84.9,6.9,9.2,13.8,16.1
295,44,158,Vegan,7,4.279759687621745,7.9,31.6,39.5,55.3,23.7,6.6,8.8,13.2,15.4
298,33,769,Vegan,7,2.221391968697325,38.45,153.8,192.25,269.15,115.35,4.95,6.6,9.9,11.55
301,53,117,Vegan,5,0.7288243096774578,5.85,23.4,29.25,40.95,17.55,7.95,10.6,15.9,18.55
304,47,101,Vegan,5,3.636507179811307,5.05,20.2,25.25,35.35,15.15,7.05,9.4,14.1,16.45
307,4,118,Vegan,10,4.2832791887263255,5.9,23.6,29.5,41.3,17.7,0.6,0.8,1.2,1.4
310,53,758,Vegan,1,4.104567059435854,37.9,151.6,189.5,265.3,113.7,7.95,10.6,15.9,18.55
313,36,653,Vegan,9,2.3239266324097376,32.65,130.6,163.25,228.55,97.95,5.4,7.2,10.8,12.6
316,88,642,Vegan,9,4.756247047014926,32.1,128.4,160.5,224.7,96.3,13.2,17.6,26.4,30.8
319,29,420,Vegan,10,1.1295934539552799,21,84,105,147,63,4.35,5.8,8.7,10.15
322,36,571,Vegan,4,1.2963119725743932,28.55,114.2,142.75,199.85,85.65,5.4,7.2,10.8,12.6
325,53,881,Vegan,5,2.7940771727840117,44.05,176.2,220.25,308.35,132.15,7.95,10.6,15.9,18.55
328,49,369,Vegan,9,4.103844695761014,18.45,73.8,92.25,129.15,55.35,7.35,9.8,14.7,17.15
331,9,982,Vegan,1,2.714415968444257,49.1,196.4,245.5,343.7,147.3,1.35,1.8,2.7,3.15
334,21,537,Vegan,5,5.100571327251596,26.85,107.4,134.25,187.95,80.55,3.15,4.2,6.3,7.35
337,49,587,Vegan,5,0.8225534907879068,29.35,117.4,146.75,205.45,88.05,7.35,9.8,14.7,17.15
340,64,697,Vegan,7,1.5501517286359596,34.85,139.4,174.25,243.95,104.55,9.6,12.8,19.2,22.4
343,64,554,Vegan,8,3.8055674603313356,27.7,110.8,138.5,193.9,83.1,9.6,12.8,19.2,22.4
346,34,963,Vegan,10,4.744448460968734,48.15,192.6,240.75,337.05,144.45,5.1,6.8,10.2,11.9
349,68,239,Vegan,2,4.303966514148145,11.95,47.8,59.75,83.65,35.85,10.2,13.6,20.4,23.8
352,69,658,Vegan,6,3.075784670926083,32.9,131.6,164.5,230.3,98.7,10.35,13.8,20.7,24.15
355,63,841,Vegan,5,2.2771214223361413,42.05,168.2,210.25,294.35,126.15,9.45,12.6,18.9,22.05
358,18,803,Vegan,10,5.099110999926002,40.15,160.6,200.75,281.05,120.45,2.7,3.6,5.4,6.3
361,96,269,Vegan,5,0.6846780414362842,13.45,53.8,67.25,94.15,40.35,14.4,19.2,28.8,33.6
364,27,718,Vegan,10,3.47149467033833,35.9,143.6,179.5,251.3,107.7,4.05,5.4,8.1,9.45
367,49,429,Vegan,5,0.9034436539981506,21.45,85.8,107.25,150.15,64.35,7.35,9.8,14.7,17.15
370,18,384,Vegan,1,4.954955904644907,19.2,76.8,96,134.4,57.6,2.7,3.6,5.4,6.3
373,5,990,Vegan,1,4.123656250606437,49.5,198,247.5,346.5,148.5,0.75,1,1.5,1.75
376,52,646,Vegan,9,4.827426323011544,32.3,129.2,161.5,226.1,96.9,7.8,10.4,15.6,18.2
379,7,934,Vegan,3,0.61102299630602,46.7,186.8,233.5,326.9,140.1,1.05,1.4,2.1,2.45
382,81,606,Vegan,4,3.8984055552725234,30.3,121.2,151.5,212.1,90.9,12.15,16.2,24.3,28.35
385,3,405,Vegan,9,1.6568562365444253,20.25,81,101.25,141.75,60.75,0.45,0.6,0.9,1.05
388,9,109,Vegan,5,4.500995535232505,5.45,21.8,27.25,38.15,16.35,1.35,1.8,2.7,3.15
391,35,417,Vegan,1,0.7887918112980081,20.85,83.4,104.25,145.95,62.55,5.25,7,10.5,12.25
394,67,299,Vegan,10,1.182049334970492,14.95,59.8,74.75,104.65,44.85,10.05,13.4,20.1,23.45
397,91,540,Vegan,2,4.06100906939014,27,108,135,189,81,13.65,18.2,27.3,31.85
400,71,707,Vegan,3,2.6440839690274016,35.35,141.4,176.75,247.45,106.05,10.65,14.2,21.3,24.85
403,59,560,Vegan,2,3.480694286680507,28,112,140,196,84,8.85,11.8,17.7,20.65
406,4,444,Vegan,3,1.6941339935179374,22.2,88.8,111,155.4,66.6,0.6,0.8,1.2,1.4
409,34,426,Vegan,9,1.323657304052721,21.3,85.2,106.5,149.1,63.9,5.1,6.8,10.2,11.9
412,21,873,Vegan,9,2.5110186540059454,43.65,174.6,218.25,305.55,130.95,3.15,4.2,6.3,7.35
415,75,543,Vegan,7,0.634239110584416,27.15,108.6,135.75,190.05,81.45,11.25,15,22.5,26.25
418,64,974,Vegan,7,2.4204254222016477,48.7,194.8,243.5,340.9,146.1,9.6,12.8,19.2,22.4
421,4,502,Vegan,2,1.5394021002918252,25.1,100.4,125.5,175.7,75.3,0.6,0.8,1.2,1.4
424,45,462,Vegan,9,0.881194092504728,23.1,92.4,115.5,161.7,69.3,6.75,9,13.5,15.75
427,45,124,Vegan,1,3.021309596291993,6.2,24.8,31,43.4,18.6,6.75,9,13.5,15.75
430,75,929,Vegan,9,4.777422411915339,46.45,185.8,232.25,325.15,139.35,11.25,15,22.5,26.25
433,69,708,Vegan,6,1.9977219378349393,35.4,141.6,177,247.8,106.2,10.35,13.8,20.7,24.15
436,27,497,Vegan,6,3.462483428145898,24.85,99.4,124.25,173.95,74.55,4.05,5.4,8.1,9.45
439,29,438,Vegan,7,1.9119998206720847,21.9,87.6,109.5,153.3,65.7,4.35,5.8,8.7,10.15
442,58,722,Vegan,3,1.5829405428419359,36.1,144.4,180.5,252.7,108.3,8.7,11.6,17.4,20.3
445,32,667,Vegan,5,0.9547916661462753,33.35,133.4,166.75,233.45,100.05,4.8,6.4,9.6,11.2
448,91,872,Vegan,8,2.0382858314072676,43.6,174.4,218,305.2,130.8,13.65,18.2,27.3,31.85
451,51,211,Vegan,4,1.5408582142450828,10.55,42.2,52.75,73.85,31.65,7.65,10.2,15.3,17.85
454,82,943,Vegan,6,0.825989408230925,47.15,188.6,235.75,330.05,141.45,12.3,16.4,24.6,28.7
457,10,247,Vegan,5,1.1062402202153288,12.35,49.4,61.75,86.45,37.05,1.5,2,3,3.5
460,4,232,Vegan,5,5.325221146016089,11.6,46.4,58,81.2,34.8,0.6,0.8,1.2,1.4
463,63,810,Vegan,5,0.5111280073791098,40.5,162,202.5,283.5,121.5,9.45,12.6,18.9,22.05
466,14,374,Vegan,7,5.440830565704796,18.7,74.8,93.5,130.9,56.1,2.1,2.8,4.2,4.9
469,75,692,Vegan,8,1.9066006697458318,34.6,138.4,173,242.2,103.8,11.25,15,22.5,26.25
472,43,694,Vegan,9,1.4183069391126053,34.7,138.8,173.5,242.9,104.1,6.45,8.6,12.9,15.05
475,87,271,Vegan,9,2.110443428777721,13.55,54.2,67.75,94.85,40.65,13.05,17.4,26.1,30.45
478,42,890,Vegan,6,4.368066495298427,44.5,178,222.5,311.5,133.5,6.3,8.4,12.6,14.7
481,64,310,Vegan,4,4.920256939855325,15.5,62,77.5,108.5,46.5,9.6,12.8,19.2,22.4
484,58,993,Vegan,3,4.27865436162569,49.65,198.6,248.25,347.55,148.95,8.7,11.6,17.4,20.3
487,4,812,Vegan,10,4.3540667187144635,40.6,162.4,203,284.2,121.8,0.6,0.8,1.2,1.4
490,26,737,Vegan,4,2.3769327963132767,36.85,147.4,184.25,257.95,110.55,3.9,5.2,7.8,9.1
493,25,355,Vegan,2,4.649884430096993,17.75,71,88.75,124.25,53.25,3.75,5,7.5,8.75
496,99,786,Vegan,6,4.3563206865731745,39.3,157.2,196.5,275.1,117.9,14.85,19.8,29.7,34.65
499,99,283,Vegan,8,5.328844094648381,14.15,56.6,70.75,99.05,42.45,14.85,19.8,29.7,34.65
502,36,860,Vegan,7,3.33510742960053,43,172,215,301,129,5.4,7.2,10.8,12.6
505,31,186,Vegan,4,1.108039089879201,9.3,37.2,46.5,65.1,27.9,4.65,6.2,9.3,10.85
508,61,548,Vegan,8,4.2198520011095635,27.4,109.6,137,191.8,82.2,9.15,12.2,18.3,21.35
511,14,714,Vegan,5,1.6536984909479364,35.7,142.8,178.5,249.9,107.1,2.1,2.8,4.2,4.9
514,58,492,Vegan,10,4.920214582728354,24.6,98.4,123,172.2,73.8,8.7,11.6,17.4,20.3
517,56,470,Vegan,8,3.30022880709258,23.5,94,117.5,164.5,70.5,8.4,11.2,16.8,19.6
520,17,548,Vegan,4,3.6144645871246106,27.4,109.6,137,191.8,82.2,2.55,3.4,5.1,5.95
523,21,745,Vegan,9,4.91398771916446,37.25,149,186.25,260.75,111.75,3.15,4.2,6.3,7.35
526,86,723,Vegan,5,0.9329847167312967,36.15,144.6,180.75,253.05,108.45,12.9,17.2,25.8,30.1
529,100,777,Vegan,3,2.5040815366430365,38.85,155.4,194.25,271.95,116.55,15,20,30,35
532,33,425,Vegan,10,3.666978986961407,21.25,85,106.25,148.75,63.75,4.95,6.6,9.9,11.55
535,36,613,Vegan,8,1.3067610568463845,30.65,122.6,153.25,214.55,91.95,5.4,7.2,10.8,12.6
538,11,974,Vegan,6,5.175454867504325,48.7,194.8,243.5,340.9,146.1,1.65,2.2,3.3,3.85
541,43,732,Vegan,6,2.1767426801676732,36.6,146.4,183,256.2,109.8,6.45,8.6,12.9,15.05
544,15,862,Vegan,3,3.654118225215481,43.1,172.4,215.5,301.7,129.3,2.25,3,4.5,5.25
547,51,741,Vegan,2,4.211114611601588,37.05,148.2,185.25,259.35,111.15,7.65,10.2,15.3,17.85
550,68,290,Vegan,6,1.6339840294117698,14.5,58,72.5,101.5,43.5,10.2,13.6,20.4,23.8
553,62,916,Vegan,5,2.374723343322062,45.8,183.2,229,320.6,137.4,9.3,12.4,18.6,21.7
556,50,924,Vegan,6,4.276551321207244,46.2,184.8,231,323.4,138.6,7.5,10,15,17.5
559,32,975,Vegan,7,3.799596898093781,48.75,195,243.75,341.25,146.25,4.8,6.4,9.6,11.2
562,72,674,Vegan,2,4.715805188584611,33.7,134.8,168.5,235.9,101.1,10.8,14.4,21.6,25.2
565,9,201,Vegan,1,4.0986415495115525,10.05,40.2,50.25,70.35,30.15,1.35,1.8,2.7,3.15
568,95,971,Vegan,3,3.419961896987753,48.55,194.2,242.75,339.85,145.65,14.25,19,28.5,33.25
571,1,978,Vegan,5,1.1284008320376384,48.9,195.6,244.5,342.3,146.7,0.15,0.2,0.3,0.35
574,18,735,Vegan,10,4.394943897907914,36.75,147,183.75,257.25,110.25,2.7,3.6,5.4,6.3
577,99,365,Vegan,4,0.7655649577407915,18.25,73,91.25,127.75,54.75,14.85,19.8,29.7,34.65
580,32,203,Vegan,6,4.1499226868279955,10.15,40.6,50.75,71.05,30.45,4.8,6.4,9.6,11.2
583,82,132,Vegan,1,2.7153111931230427,6.6,26.4,33,46.2,19.8,12.3,16.4,24.6,28.7
586,75,255,Vegan,1,1.770510842629976,12.75,51,63.75,89.25,38.25,11.25,15,22.5,26.25
589,76,964,Vegan,4,1.0046675380313221,48.2,192.8,241,337.4,144.6,11.4,15.2,22.8,26.6
592,66,596,Vegan,2,3.3741055756824743,29.8,119.2,149,208.6,89.4,9.9,13.2,19.8,23.1
595,47,857,Vegan,2,0.7921885175886962,42.85,171.4,214.25,299.95,128.55,7.05,9.4,14.1,16.45
598,56,965,Vegan,3,2.19557248350084,48.25,193,241.25,337.75,144.75,8.4,11.2,16.8,19.6
601,21,317,Vegan,2,4.2291345705492045,15.85,63.4,79.25,110.95,47.55,3.15,4.2,6.3,7.35
604,61,547,Vegan,9,2.8233174258257945,27.35,109.4,136.75,191.45,82.05,9.15,12.2,18.3,21.35
607,91,215,Vegan,3,4.305426139692026,10.75,43,53.75,75.25,32.25,13.65,18.2,27.3,31.85
610,25,716,Vegan,5,4.965464472014384,35.8,143.2,179,250.6,107.4,3.75,5,7.5,8.75
613,70,324,Vegan,5,4.957516450555159,16.2,64.8,81,113.4,48.6,10.5,14,21,24.5
616,64,286,Vegan,10,4.305102180703084,14.3,57.2,71.5,100.1,42.9,9.6,12.8,19.2,22.4
619,99,113,Vegan,1,2.652186309617644,5.65,22.6,28.25,39.55,16.95,14.85,19.8,29.7,34.65
622,27,902,Vegan,8,0.6730317935641906,45.1,180.4,225.5,315.7,135.3,4.05,5.4,8.1,9.45
625,22,499,Vegan,10,2.2279004178817914,24.95,99.8,124.75,174.65,74.85,3.3,4.4,6.6,7.7
628,31,599,Vegan,1,2.837976044984713,29.95,119.8,149.75,209.65,89.85,4.65,6.2,9.3,10.85
631,5,317,Vegan,5,5.1749315708112835,15.85,63.4,79.25,110.95,47.55,0.75,1,1.5,1.75
634,29,544,Vegan,8,2.8161046220590373,27.2,108.8,136,190.4,81.6,4.35,5.8,8.7,10.15
637,55,208,Vegan,2,1.2673978997591409,10.4,41.6,52,72.8,31.2,8.25,11,16.5,19.25
640,61,293,Vegan,2,5.471837344433392,14.65,58.6,73.25,102.55,43.95,9.15,12.2,18.3,21.35
643,87,388,Vegan,9,2.29082329380231,19.4,77.6,97,135.8,58.2,13.05,17.4,26.1,30.45
646,15,883,Vegan,3,2.793722997957553,44.15,176.6,220.75,309.05,132.45,2.25,3,4.5,5.25
649,41,550,Vegan,2,3.0454295642054383,27.5,110,137.5,192.5,82.5,6.15,8.2,12.3,14.35
652,46,665,Vegan,8,0.7751424262270569,33.25,133,166.25,232.75,99.75,6.9,9.2,13.8,16.1
655,92,587,Vegan,1,3.3385169014356206,29.35,117.4,146.75,205.45,88.05,13.8,18.4,27.6,32.2
658,45,486,Vegan,10,4.712565603438884,24.3,97.2,121.5,170.1,72.9,6.75,9,13.5,15.75
661,47,851,Vegan,2,4.930750647719064,42.55,170.2,212.75,297.85,127.65,7.05,9.4,14.1,16.45
664,78,386,Vegan,6,4.7969251254079515,19.3,77.2,96.5,135.1,57.9,11.7,15.6,23.4,27.3
667,80,491,Vegan,2,1.2047304053047276,24.55,98.2,122.75,171.85,73.65,12,16,24,28
670,40,586,Vegan,2,5.466200779482492,29.3,117.2,146.5,205.1,87.9,6,8,12,14
673,75,242,Vegan,8,2.1619019344322217,12.1,48.4,60.5,84.7,36.3,11.25,15,22.5,26.25
676,33,361,Vegan,4,2.545145332211108,18.05,72.2,90.25,126.35,54.15,4.95,6.6,9.9,11.55
679,55,737,Vegan,8,0.6849317825743496,36.85,147.4,184.25,257.95,110.55,8.25,11,16.5,19.25
682,92,966,Vegan,1,2.628178245758667,48.3,193.2,241.5,338.1,144.9,13.8,18.4,27.6,32.2
685,98,695,Vegan,9,2.960178738717469,34.75,139,173.75,243.25,104.25,14.7,19.6,29.4,34.3
688,93,864,Vegan,9,3.701927913807615,43.2,172.8,216,302.4,129.6,13.95,18.6,27.9,32.55
691,79,232,Vegan,3,2.501399689166226,11.6,46.4,58,81.2,34.8,11.85,15.8,23.7,27.65
694,26,374,Vegan,10,3.5874646953790066,18.7,74.8,93.5,130.9,56.1,3.9,5.2,7.8,9.1
697,31,280,Vegan,5,4.267108024311252,14,56,70,98,42,4.65,6.2,9.3,10.85
700,79,313,Vegan,5,1.8663691308683457,15.65,62.6,78.25,109.55,46.95,11.85,15.8,23.7,27.65
703,22,746,Vegan,1,2.2743479658327455,37.3,149.2,186.5,261.1,111.9,3.3,4.4,6.6,7.7
706,39,797,Vegan,4,4.500060121065093,39.85,159.4,199.25,278.95,119.55,5.85,7.8,11.7,13.65
709,83,546,Vegan,6,1.0260741631789005,27.3,109.2,136.5,191.1,81.9,12.45,16.6,24.9,29.05
712,26,809,Vegan,3,2.2212788174941416,40.45,161.8,202.25,283.15,121.35,3.9,5.2,7.8,9.1
715,37,633,Vegan,9,3.463175687189487,31.65,126.6,158.25,221.55,94.95,5.55,7.4,11.1,12.95
718,77,245,Vegan,5,0.6142336975914388,12.25,49,61.25,85.75,36.75,11.55,15.4,23.1,26.95
721,17,767,Vegan,3,2.8109832449582624,38.35,153.4,191.75,268.45,115.05,2.55,3.4,5.1,5.95
724,4,184,Vegan,6,1.3218853012654148,9.2,36.8,46,64.4,27.6,0.6,0.8,1.2,1.4
727,49,939,Vegan,9,0.7599770855288364,46.95,187.8,234.75,328.65,140.85,7.35,9.8,14.7,17.15
730,21,359,Vegan,4,2.8712750818199986,17.95,71.8,89.75,125.65,53.85,3.15,4.2,6.3,7.35
733,37,178,Vegan,8,3.3741146570793075,8.9,35.6,44.5,62.3,26.7,5.55,7.4,11.1,12.95
736,100,173,Vegan,10,2.022232669567143,8.65,34.6,43.25,60.55,25.95,15,20,30,35
